"year","month","country","totalsales"
"2010","12","United Kingdom","676742.62"
"2010","12","Germany","14562.84"
"2010","12","France","9575.36"
"2010","12","EIRE","9029.95"
"2010","12","Netherlands","8784.48"
"2010","12","Japan","7705.07"
"2010","12","Norway","3787.12"
"2010","12","Sweden","2646.30"
"2010","12","Portugal","2380.12"
"2010","12","Spain","1843.73"
"2010","12","Belgium","1809.91"
"2010","12","Lithuania","1661.06"
"2010","12","Cyprus","1590.82"
"2010","12","Switzerland","1304.92"
"2010","12","Denmark","1281.50"
"2010","12","Australia","1005.10"
"2010","12","Finland","892.80"
"2010","12","Italy","794.50"
"2010","12","Iceland","711.79"
"2010","12","Channel Islands","363.53"
"2010","12","Austria","257.04"
"2010","12","Poland","248.16"
"2010","12","Bahrain","205.74"
"2010","12","Israel","-227.44"
"2011","1","United Kingdom","434308.30"
"2011","1","Netherlands","26611.16"
"2011","1","EIRE","21656.52"
"2011","1","France","17503.07"
"2011","1","Germany","16451.43"
"2011","1","Australia","9017.71"
"2011","1","Spain","7178.54"
"2011","1","Switzerland","4231.23"
"2011","1","Portugal","3998.11"
"2011","1","Sweden","3446.32"
"2011","1","Greece","2661.24"
"2011","1","Hong Kong","2439.76"
"2011","1","Italy","2361.36"
"2011","1","Singapore","2053.07"
"2011","1","Lebanon","1693.88"
"2011","1","Belgium","1154.05"
"2011","1","Finland","889.02"
"2011","1","Channel Islands","645.08"
"2011","1","Poland","613.22"
"2011","1","Cyprus","547.50"
"2011","1","Iceland","475.39"
"2011","1","Israel","379.84"
"2011","1","Japan","-109.80"
"2011","1","Bahrain","-205.74"
"2011","2","United Kingdom","408247.91"
"2011","2","Netherlands","22932.11"
"2011","2","Australia","14627.47"
"2011","2","EIRE","9674.14"
"2011","2","Germany","8969.24"
"2011","2","France","8438.91"
"2011","2","Japan","5780.81"
"2011","2","Cyprus","4013.55"
"2011","2","Switzerland","2642.67"
"2011","2","Belgium","2161.32"
"2011","2","Spain","2093.70"
"2011","2","Channel Islands","1784.71"
"2011","2","Portugal","1213.90"
"2011","2","United Arab Emirates","889.24"
"2011","2","Israel","779.10"
"2011","2","Norway","630.90"
"2011","2","Poland","604.05"
"2011","2","Czech Republic","549.26"
"2011","2","Austria","518.36"
"2011","2","Sweden","509.50"
"2011","2","Denmark","399.22"
"2011","2","Italy","251.50"
"2011","2","Finland","205.16"
"2011","2","Saudi Arabia","145.92"
"2011","3","United Kingdom","559707.39"
"2011","3","Netherlands","22416.49"
"2011","3","EIRE","18783.23"
"2011","3","Australia","17055.29"
"2011","3","France","14516.90"
"2011","3","Germany","14170.02"
"2011","3","Finland","5924.62"
"2011","3","Spain","5326.65"
"2011","3","Sweden","4540.58"
"2011","3","Denmark","3978.99"
"2011","3","Channel Islands","3509.33"
"2011","3","Belgium","3333.58"
"2011","3","Portugal","2660.85"
"2011","3","Switzerland","1870.23"
"2011","3","Italy","1778.91"
"2011","3","Austria","1708.12"
"2011","3","Cyprus","938.39"
"2011","3","Greece","387.31"
"2011","3","Norway","304.68"
"2011","3","Poland","303.39"
"2011","3","Canada","140.54"
"2011","3","Hong Kong","0.00"
"2011","3","Saudi Arabia","-14.75"
"2011","3","Japan","-73.66"
"2011","4","United Kingdom","442254.04"
"2011","4","Germany","11963.37"
"2011","4","EIRE","7570.50"
"2011","4","Japan","4871.83"
"2011","4","France","4195.21"
"2011","4","Netherlands","2976.56"
"2011","4","Singapore","2118.74"
"2011","4","Belgium","1954.15"
"2011","4","Switzerland","1822.19"
"2011","4","Spain","1785.65"
"2011","4","Portugal","1687.75"
"2011","4","Finland","1626.81"
"2011","4","Hong Kong","1539.64"
"2011","4","Brazil","1143.60"
"2011","4","Sweden","809.10"
"2011","4","Italy","737.83"
"2011","4","Poland","705.84"
"2011","4","Austria","680.78"
"2011","4","Iceland","636.25"
"2011","4","Greece","609.74"
"2011","4","USA","383.95"
"2011","4","Australia","333.40"
"2011","4","Unspecified","299.10"
"2011","4","Channel Islands","293.00"
"2011","4","European Community","191.40"
"2011","4","Israel","110.00"
"2011","4","Cyprus","-35.80"
"2011","4","Czech Republic","-57.51"
"2011","5","United Kingdom","596459.86"
"2011","5","Netherlands","29185.88"
"2011","5","Germany","25571.35"
"2011","5","EIRE","17921.35"
"2011","5","France","17527.08"
"2011","5","Australia","13628.51"
"2011","5","Switzerland","3567.21"
"2011","5","Spain","3257.60"
"2011","5","Belgium","2727.00"
"2011","5","Sweden","2664.98"
"2011","5","Hong Kong","1966.16"
"2011","5","Poland","1522.37"
"2011","5","Japan","1351.45"
"2011","5","Austria","1249.43"
"2011","5","Unspecified","1055.87"
"2011","5","Channel Islands","903.79"
"2011","5","Portugal","587.83"
"2011","5","Italy","587.45"
"2011","5","Bahrain","548.40"
"2011","5","Canada","534.24"
"2011","5","Denmark","515.70"
"2011","6","United Kingdom","554478.35"
"2011","6","Netherlands","26843.09"
"2011","6","Australia","25164.77"
"2011","6","EIRE","20060.25"
"2011","6","France","15991.87"
"2011","6","Germany","13081.02"
"2011","6","Switzerland","7882.20"
"2011","6","Norway","5886.86"
"2011","6","Belgium","4273.17"
"2011","6","Spain","3332.44"
"2011","6","Denmark","3261.15"
"2011","6","Channel Islands","2060.03"
"2011","6","Japan","1607.04"
"2011","6","Canada","1171.46"
"2011","6","Cyprus","1109.32"
"2011","6","Portugal","879.51"
"2011","6","Malta","850.41"
"2011","6","Sweden","832.00"
"2011","6","Hong Kong","633.96"
"2011","6","European Community","423.55"
"2011","6","Iceland","382.52"
"2011","6","Finland","329.56"
"2011","6","Poland","264.74"
"2011","6","Unspecified","185.78"
"2011","6","Italy","162.27"
"2011","6","Austria","-24.20"
"2011","7","United Kingdom","565479.84"
"2011","7","EIRE","42740.65"
"2011","7","Germany","15721.66"
"2011","7","France","9888.99"
"2011","7","Spain","7578.17"
"2011","7","Sweden","6802.09"
"2011","7","Australia","4767.57"
"2011","7","Singapore","3949.32"
"2011","7","Japan","3854.40"
"2011","7","Switzerland","3776.61"
"2011","7","Finland","2996.73"
"2011","7","Belgium","2473.62"
"2011","7","Portugal","2287.85"
"2011","7","Canada","1768.58"
"2011","7","Israel","1430.75"
"2011","7","Unspecified","1425.41"
"2011","7","Austria","1191.95"
"2011","7","Norway","890.07"
"2011","7","Poland","678.45"
"2011","7","European Community","676.80"
"2011","7","Denmark","376.24"
"2011","7","Greece","371.24"
"2011","7","Italy","147.10"
"2011","7","Netherlands","26.02"
"2011","8","United Kingdom","539130.50"
"2011","8","Netherlands","39655.81"
"2011","8","Australia","22489.20"
"2011","8","Germany","19023.65"
"2011","8","France","13789.26"
"2011","8","EIRE","12157.47"
"2011","8","Channel Islands","4892.53"
"2011","8","Switzerland","4882.19"
"2011","8","Israel","4873.81"
"2011","8","Belgium","3536.12"
"2011","8","Spain","3330.41"
"2011","8","Hong Kong","2813.95"
"2011","8","Norway","1984.46"
"2011","8","Italy","1934.80"
"2011","8","Austria","1516.08"
"2011","8","Sweden","1390.96"
"2011","8","Finland","1371.55"
"2011","8","Portugal","1206.40"
"2011","8","Malta","1103.25"
"2011","8","Iceland","584.91"
"2011","8","Unspecified","531.03"
"2011","8","Poland","401.80"
"2011","8","Denmark","78.60"
"2011","8","Canada","51.56"
"2011","8","Japan","-49.79"
"2011","9","United Kingdom","862018.15"
"2011","9","EIRE","42639.05"
"2011","9","Netherlands","26937.26"
"2011","9","France","23198.87"
"2011","9","Germany","17720.31"
"2011","9","Norway","8678.94"
"2011","9","Switzerland","8254.96"
"2011","9","Spain","5163.74"
"2011","9","Australia","5031.73"
"2011","9","Sweden","4575.21"
"2011","9","Denmark","4570.16"
"2011","9","Belgium","4197.82"
"2011","9","Portugal","1433.22"
"2011","9","Channel Islands","1321.65"
"2011","9","Finland","1105.45"
"2011","9","United Arab Emirates","1013.04"
"2011","9","Poland","529.25"
"2011","9","Israel","423.73"
"2011","9","Unspecified","286.85"
"2011","9","Italy","279.80"
"2011","9","Cyprus","196.35"
"2011","9","Japan","112.08"
"2011","9","Hong Kong","0.00"
"2011","10","United Kingdom","877438.19"
"2011","10","Netherlands","40708.65"
"2011","10","Germany","30614.27"
"2011","10","France","25032.04"
"2011","10","EIRE","23307.62"
"2011","10","Australia","17150.53"
"2011","10","Switzerland","8033.98"
"2011","10","Sweden","5766.16"
"2011","10","Belgium","5651.38"
"2011","10","Portugal","5584.63"
"2011","10","Spain","5078.65"
"2011","10","Cyprus","4216.52"
"2011","10","Norway","3687.23"
"2011","10","Italy","3410.79"
"2011","10","Finland","2804.12"
"2011","10","Channel Islands","2623.32"
"2011","10","Japan","1948.04"
"2011","10","Denmark","1438.11"
"2011","10","Iceland","1294.32"
