"year","month","description","totalsales"
"2010","12","REGENCY CAKESTAND 3 TIER","26897.36"
"2010","12","DOTCOM POSTAGE","24671.19"
"2010","12","WHITE HANGING HEART T-LIGHT HOLDER","9877.82"
"2010","12","RED WOOLLY HOTTIE WHITE HEART.","9291.73"
"2010","12","PAPER CHAIN KIT 50'S CHRISTMAS","9205.15"
"2010","12","WHITE SKULL HOT WATER BOTTLE","8228.73"
"2010","12","HOT WATER BOTTLE TEA AND SYMPATHY","8095.26"
"2010","12","CHILLI LIGHTS","7506.44"
"2010","12","CHOCOLATE HOT WATER BOTTLE","7327.13"
"2010","12","VINTAGE UNION JACK MEMOBOARD","6999.63"
"2010","12","WOOD BLACK BOARD ANT WHITE FINISH","6835.17"
"2010","12","KNITTED UNION FLAG HOT WATER BOTTLE","6681.72"
"2010","12","ROTATING SILVER ANGELS T-LIGHT HLDR","6435.91"
"2010","12","BLACK RECORD COVER FRAME","6294.54"
"2010","12","CREAM HEART CARD HOLDER","5721.21"
"2010","12","SCOTTIE DOG HOT WATER BOTTLE","5256.80"
"2010","12","BLACK HEART CARD HOLDER","5200.14"
"2010","12","HOT WATER BOTTLE BABUSHKA","5130.51"
"2010","12","PAPER CHAIN KIT VINTAGE CHRISTMAS","4981.02"
"2010","12","ROUND SNACK BOXES SET OF 4 FRUITS","4823.20"
"2010","12","HAND WARMER BABUSHKA DESIGN","4487.88"
"2010","12","POSTAGE","4386.00"
"2010","12","ASSORTED COLOUR BIRD ORNAMENT","3985.87"
"2010","12","JUMBO BAG RED RETROSPOT","3972.35"
"2010","12","VICTORIAN SEWING BOX LARGE","3765.20"
"2010","12","CHARLOTTE BAG SUKI DESIGN","3599.11"
"2010","12","SET 7 BABUSHKA NESTING BOXES","3589.92"
"2010","12","HAND WARMER BIRD DESIGN","3566.65"
"2010","12","HOT WATER BOTTLE I AM SO POORLY","3554.01"
"2010","12","RETROSPOT HEART HOT WATER BOTTLE","3476.39"
"2010","12","HEART OF WICKER SMALL","3392.00"
"2010","12","HEART OF WICKER LARGE","3298.97"
"2010","12","BOX OF VINTAGE ALPHABET BLOCKS","3245.54"
"2010","12","ANTIQUE SILVER TEA GLASS ETCHED","3240.53"
"2010","12","FAWN BLUE HOT WATER BOTTLE","3205.65"
"2010","12","DOORMAT RED RETROSPOT","2974.41"
"2010","12","WOODEN FRAME ANTIQUE WHITE","2968.97"
"2010","12","DELUXE SEWING KIT","2848.26"
"2010","12","LUNCH BOX I LOVE LONDON","2777.02"
"2010","12","RED TOADSTOOL LED NIGHT LIGHT","2703.51"
"2010","12","JAM MAKING SET PRINTED","2692.84"
"2010","12","PACK OF 72 RETROSPOT CAKE CASES","2665.08"
"2010","12","JAM MAKING SET WITH JARS","2647.78"
"2010","12","SMALL POPCORN HOLDER","2625.10"
"2010","12","UTILTY CABINET WITH HOOKS","2590.29"
"2010","12","RED  HARMONICA IN BOX","2573.92"
"2010","12","GROW A FLYTRAP OR SUNFLOWER IN TIN","2509.01"
"2010","12","GREY HEART HOT WATER BOTTLE","2430.91"
"2010","12","PLEASE ONE PERSON METAL SIGN","2405.84"
"2010","12","HALL CABINET WITH 3 DRAWERS","2403.63"
"2010","12","CHICK GREY HOT WATER BOTTLE","2395.06"
"2010","12","RED HANGING HEART T-LIGHT HOLDER","2113.27"
"2010","12","NATURAL SLATE HEART CHALKBOARD","2097.26"
"2010","12","HAND WARMER SCOTTY DOG DESIGN","2075.67"
"2010","12","ALARM CLOCK BAKELIKE RED","2059.16"
"2010","12","ALARM CLOCK BAKELIKE GREEN","2057.10"
"2010","12","STRAWBERRY CERAMIC TRINKET BOX","2032.68"
"2010","12","PHOTO CUBE","2027.44"
"2010","12","HOME BUILDING BLOCK WORD","2018.72"
"2010","12","RED KITCHEN SCALES","1979.62"
"2010","12","COLOUR GLASS. STAR T-LIGHT HOLDER","1967.02"
"2010","12","HAND WARMER UNION JACK","1946.56"
"2010","12","HAND WARMER OWL DESIGN","1882.27"
"2010","12","RED RETROSPOT CAKE STAND","1879.30"
"2010","12","JUMBO  BAG BAROQUE BLACK WHITE","1860.55"
"2010","12","HOMEMADE JAM SCENTED CANDLES","1832.90"
"2010","12","BIRD HOUSE HOT WATER BOTTLE","1801.92"
"2010","12","WOODEN OWLS LIGHT GARLAND","1794.29"
"2010","12","DOORMAT FANCY FONT HOME SWEET HOME","1781.73"
"2010","12","WOOD 2 DRAWER CABINET WHITE FINISH","1779.86"
"2010","12","CHRISTMAS LIGHTS 10 VINTAGE BAUBLES","1746.36"
"2010","12","PAPER CHAIN KIT RETROSPOT","1743.61"
"2010","12","VICTORIAN GLASS HANGING T-LIGHT","1735.38"
"2010","12","DOORMAT UNION FLAG","1709.22"
"2010","12","JUMBO SHOPPER VINTAGE RED PAISLEY","1698.02"
"2010","12","FAIRY TALE COTTAGE NIGHTLIGHT","1695.74"
"2010","12","WOOD S/3 CABINET ANT WHITE FINISH","1691.75"
"2010","12","ROUND SNACK BOXES SET OF4 WOODLAND","1679.17"
"2010","12","SPACEBOY LUNCH BOX","1673.70"
"2010","12","ENGLISH ROSE HOT WATER BOTTLE","1637.89"
"2010","12","WOODLAND CHARLOTTE BAG","1620.60"
"2010","12","MINI PAINT SET VINTAGE","1616.80"
"2010","12","GREEN REGENCY TEACUP AND SAUCER","1585.12"
"2010","12","JUMBO STORAGE BAG SUKI","1583.43"
"2010","12","CLOTHES PEGS RETROSPOT PACK 24","1580.45"
"2010","12","HAND WARMER RED RETROSPOT","1575.45"
"2010","12","LARGE POPCORN HOLDER","1553.28"
"2010","12","ROSES REGENCY TEACUP AND SAUCER","1545.76"
"2010","12","VINTAGE RED KITCHEN CABINET","1545.00"
"2010","12","ROSE COTTAGE KEEPSAKE BOX","1482.04"
"2010","12","6 RIBBONS RUSTIC CHARM","1476.49"
"2010","12","RECIPE BOX PANTRY YELLOW DESIGN","1461.65"
"2010","12","RED 3 PIECE RETROSPOT CUTLERY SET","1454.98"
"2010","12","LIGHT GARLAND BUTTERFILES PINK","1448.54"
"2010","12","SET/5 RED RETROSPOT LID GLASS BOWLS","1444.26"
"2010","12","LUNCH BAG RED RETROSPOT","1443.04"
"2010","12","3 HEARTS HANGING DECORATION RUSTIC","1435.71"
"2010","12","CHRISTMAS TOILET ROLL","1427.34"
"2010","12","ALARM CLOCK BAKELIKE PINK","1417.48"
"2010","12","AFGHAN SLIPPER SOCK PAIR","1393.85"
"2010","12","SET OF 3 CAKE TINS PANTRY DESIGN","1387.87"
"2010","12","SILVER HANGING T-LIGHT HOLDER","1383.45"
"2010","12","VINTAGE HEADS AND TAILS CARD GAME","1374.80"
"2010","12","PACK OF 6 BIRDY GIFT TAGS","1370.60"
"2010","12","PINK HEART SHAPE EGG FRYING PAN","1368.88"
"2010","12","SMALL GLASS HEART TRINKET POT","1366.56"
"2010","12","JUMBO BAG SCANDINAVIAN PAISLEY","1362.59"
"2010","12","SET OF 3 COLOURED  FLYING DUCKS","1359.35"
"2010","12","SWEETHEART RECIPE BOOK STAND","1355.32"
"2010","12","RED RETROSPOT MINI CASES","1350.84"
"2010","12","GUMBALL COAT RACK","1347.81"
"2010","12","LADIES & GENTLEMEN METAL SIGN","1346.95"
"2010","12","SOLDIERS EGG CUP","1339.93"
"2010","12","DOORMAT SPOTTY HOME SWEET HOME","1338.66"
"2010","12","IVORY KITCHEN SCALES","1329.06"
"2010","12","WOODEN PICTURE FRAME WHITE FINISH","1315.23"
"2010","12","RED RETROSPOT CHARLOTTE BAG","1314.70"
"2010","12","RECYCLING BAG RETROSPOT","1302.09"
"2010","12","EDWARDIAN PARASOL BLACK","1288.68"
"2010","12","HAND OVER THE CHOCOLATE   SIGN","1282.23"
"2010","12","CHRISTMAS LIGHTS 10 REINDEER","1271.16"
"2010","12","MEMO BOARD RETROSPOT  DESIGN","1258.64"
"2010","12","MULTI COLOUR SILVER T-LIGHT HOLDER","1253.45"
"2010","12","VICTORIAN SEWING BOX SMALL","1222.84"
"2010","12","PARTY BUNTING","1207.74"
"2010","12","CHARLIE+LOLA PINK HOT WATER BOTTLE","1206.11"
"2010","12","LUNCH BAG WOODLAND","1175.83"
"2010","12","WORLD WAR 2 GLIDERS ASSTD DESIGNS","1174.13"
